package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
systemd-devel-239-68.el8_7.1,x86_64,109129,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
systemd-journal-remote-239-68.el8_7.1,x86_64,109126,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
systemd-libs-239-68.el8_7.1,i686,109124,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
systemd-libs-239-68.el8_7.1,x86_64,109123,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
systemd-pam-239-68.el8_7.1,x86_64,109120,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
systemd-tests-239-68.el8_7.1,x86_64,109118,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
systemd-udev-239-68.el8_7.1,x86_64,109116,,RHSA-2023:0100,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-1.12.8-23.el8_7.1,x86_64,109453,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-common-1.12.8-23.el8_7.1,noarch,109463,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-daemon-1.12.8-23.el8_7.1,x86_64,109460,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-devel-1.12.8-23.el8_7.1,i686,113055,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
dbus-devel-1.12.8-23.el8_7.1,x86_64,113053,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
dbus-libs-1.12.8-23.el8_7.1,i686,109458,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-libs-1.12.8-23.el8_7.1,x86_64,109457,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-tools-1.12.8-23.el8_7.1,x86_64,109455,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
dbus-x11-1.12.8-23.el8_7.1,x86_64,113051,,RHSA-2023:0096,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
lemon-3.26.0-17.el8_7,x86_64,112800,,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
sqlite-3.26.0-17.el8_7,i686,109154,CVE-2022-35737,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
sqlite-3.26.0-17.el8_7,x86_64,109153,CVE-2022-35737,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
sqlite-devel-3.26.0-17.el8_7,i686,109159,,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
sqlite-devel-3.26.0-17.el8_7,x86_64,109158,,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
sqlite-doc-3.26.0-17.el8_7,noarch,109157,,RHSA-2023:0110,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
